003_vmcu accel pedal depth,003_vmcu accel pedal related,003_vmcu brake lamp,003_vmcu brake related,003_vmcu brakes on,003_vmcu d,003_vmcu n,003_vmcu p,003_vmcu r,003_vmcu real vehicle speed,003_vmcu motor actual speed rpm,000_auxillary battery voltage,000_available charge power,000_available discharge power,000_battery current,000_battery dc voltage,000_battery fan feedback,000_battery fan status,000_battery inlet temperature,000_battery max temperature,000_battery min temperature,000_battery module 01 temperature,000_battery module 02 temperature,000_battery module 03 temperature,000_battery module 04 temperature,000_battery module 05 temperature,000_bms ignition,000_bms main relay,000_cumulative charge current,000_cumulative discharge current,000_cumulative energy charged,000_cumulative energy discharged,000_drive motor speed 1,000_drive motor speed 2,000_hv_charging,000_inverter capacitor voltage,000_isolation resistance,000_maximum cell voltage,000_maximum cell voltage no_,000_minimum cell voltage,000_minimum cell voltage no_,000_normal charge port,000_operating time,000_rapid charge port,000_state of charge bms,000_airbag h/wire duty,000_battery cell voltage deviation,000_battery heater 1 temperature,000_battery heater 2 temperature,000_battery module 06 temperature,000_battery module 07 temperature,000_battery module 08 temperature,000_battery module 09 temperature,000_battery module 10 temperature,000_battery module 11 temperature,000_battery module 12 temperature,000_maximum deterioration cell no_,000_minimum deterioration,000_minimum deterioration cell no_,000_state of charge display,000_state of health,004_calc estimated time 45kw 80% charge,003_vmcu ambient temp,000_battery power,004_calc average battery module temperature,004_calc average cell voltage,created_on,MacAddress,before_parsing,latitude,longitude,gps_speed,ev_speed_kmh,accuracy,rownum
0.0%,0.0,0.0,90.0,0.0,0.0,0.0,0.0,1.0,4.31mph,426.0rpm,14.5V,67.62kW,98.0kW,2.5A,395.5V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,0.0rpm,0.0rpm,0.0,394.0V,1000.0kOhm,4.12V,7.0,4.1V,1.0,0.0,4226.340277777777hours,0.0,95.0%,75.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,100.0%,100.0%,0.0minutes,19.0C,0.98875kW,22.0C,4.119791666666667V,2019-11-05 15:03:42,00:1D:A5:00:1B:86,[B@c2041ef,0.0,0.0,0.0,6.9391,0.0,11
0.0%,0.0,0.0,90.0,0.0,0.0,0.0,0.0,1.0,4.64mph,464.0rpm,14.6V,67.62kW,98.0kW,1.9A,395.5V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,0.0rpm,0.0rpm,0.0,394.0V,1000.0kOhm,4.12V,7.0,4.1V,1.0,0.0,4226.341111111111hours,0.0,95.0%,80.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,100.0%,100.0%,0.0minutes,19.0C,0.75145kW,22.0C,4.119791666666667V,2019-11-05 15:03:45,00:1D:A5:00:1B:86,[B@16cdebf,0.0,0.0,0.0,7.4704,0.0,12
0.0%,0.0,0.0,90.0,0.0,0.0,0.0,0.0,1.0,4.61mph,452.0rpm,14.6V,67.62kW,98.0kW,2.0A,395.5V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,0.0rpm,0.0rpm,0.0,394.0V,1000.0kOhm,4.12V,7.0,4.1V,1.0,0.0,4226.341944444444hours,0.0,95.0%,80.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,100.0%,100.0%,0.0minutes,19.0C,0.791kW,22.0C,4.119791666666667V,2019-11-05 15:03:48,00:1D:A5:00:1B:86,[B@caaf78f,0.0,0.0,0.0,7.422100000000001,0.0,13
0.0%,0.0,0.0,90.0,0.0,0.0,0.0,0.0,1.0,4.89mph,469.0rpm,14.5V,67.62kW,98.0kW,2.4A,395.5V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,0.0rpm,0.0rpm,0.0,394.0V,1000.0kOhm,4.12V,11.0,4.1V,1.0,0.0,4226.3425hours,0.0,95.0%,80.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,100.0%,100.0%,0.0minutes,19.0C,0.9492kW,22.0C,4.119791666666667V,2019-11-05 15:03:51,00:1D:A5:00:1B:86,[B@11f8c5f,0.0,0.0,0.0,7.8729,0.0,14
0.0%,0.0,1.0,89.0,1.0,0.0,0.0,0.0,1.0,5.03mph,1.0rpm,14.6V,67.62kW,98.0kW,1.4A,395.5V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,0.0rpm,0.0rpm,0.0,394.0V,1000.0kOhm,4.12V,22.0,4.1V,1.0,0.0,4226.343333333333hours,0.0,95.0%,85.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,100.0%,100.0%,0.0minutes,19.0C,0.5537kW,22.0C,4.119791666666667V,2019-11-05 15:03:53,00:1D:A5:00:1B:86,[B@3cf9d2f,0.0,0.0,0.0,8.0983,0.0,15
0.0%,0.0,1.0,89.0,1.0,1.0,0.0,0.0,0.0,0.0mph,0.0rpm,14.6V,67.62kW,98.0kW,1.4A,395.5V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,0.0rpm,0.0rpm,0.0,394.0V,1000.0kOhm,4.12V,7.0,4.1V,1.0,0.0,4226.344166666667hours,0.0,95.0%,75.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,100.0%,100.0%,0.0minutes,19.0C,0.5537kW,22.0C,4.119791666666667V,2019-11-05 15:03:56,00:1D:A5:00:1B:86,[B@b8029ff,0.0,0.0,0.0,0.0,0.0,16
0.0%,0.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.65mph,77.0rpm,14.6V,67.62kW,98.0kW,3.8A,395.4V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,0.0rpm,0.0rpm,0.0,394.0V,1000.0kOhm,4.12V,13.0,4.1V,1.0,0.0,4226.345hours,0.0,95.0%,80.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,100.0%,100.0%,0.0minutes,19.0C,1.50252kW,22.0C,4.11875V,2019-11-05 15:03:59,00:1D:A5:00:1B:86,[B@b632cf,0.0,0.0,0.0,1.0465000000000002,0.0,17
6.0%,52.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.88mph,95.0rpm,14.6V,67.62kW,98.0kW,4.9A,395.3V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,0.0rpm,0.0rpm,0.0,394.0V,1000.0kOhm,4.12V,7.0,4.1V,1.0,0.0,4226.345555555556hours,0.0,95.0%,80.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,100.0%,100.0%,0.0minutes,19.0C,1.93697kW,22.0C,4.117708333333334V,2019-11-05 15:04:02,00:1D:A5:00:1B:86,[B@db6b79f,0.0,0.0,0.0,1.4168,0.0,18
21.5%,166.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,1.86mph,207.0rpm,14.5V,67.62kW,98.0kW,10.0A,394.9V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,200.0rpm,200.0rpm,0.0,394.0V,1000.0kOhm,4.1V,73.0,4.1V,1.0,0.0,4226.346388888889hours,0.0,95.0%,85.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,100.0%,100.0%,0.0minutes,19.0C,3.949kW,22.0C,4.113541666666666V,2019-11-05 15:04:05,00:1D:A5:00:1B:86,[B@e86b86f,0.0,0.0,0.0,2.9946,0.0,19
29.5%,246.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,1.13mph,133.0rpm,14.6V,67.62kW,98.0kW,11.3A,394.8V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,100.0rpm,100.0rpm,0.0,393.0V,1000.0kOhm,4.1V,7.0,4.1V,1.0,0.0,4226.347222222223hours,0.0,95.0%,80.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,100.0%,100.0%,0.0minutes,19.0C,4.461240000000001kW,22.0C,4.1125V,2019-11-05 15:04:07,00:1D:A5:00:1B:86,[B@eb353f,0.0,0.0,0.0,1.8193,0.0,20
32.5%,160.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,3.37mph,354.0rpm,14.6V,67.62kW,98.0kW,17.9A,394.3V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,300.0rpm,300.0rpm,0.0,393.0V,1000.0kOhm,4.1V,7.0,4.1V,1.0,0.0,4226.348055555555hours,0.0,95.0%,80.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,100.0%,100.0%,0.0minutes,19.0C,7.057969999999999kW,22.0C,4.107291666666667V,2019-11-05 15:04:10,00:1D:A5:00:1B:86,[B@4692e0f,0.0,0.0,0.0,5.425700000000001,0.0,21
31.0%,78.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,1.31mph,154.0rpm,14.6V,68.82kW,98.0kW,12.5A,394.6V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,200.0rpm,200.0rpm,0.0,393.0V,1000.0kOhm,4.1V,87.0,4.1V,1.0,0.0,4226.348888888889hours,0.0,95.0%,80.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,99.5%,100.0%,0.0minutes,19.0C,4.9325kW,22.0C,4.110416666666667V,2019-11-05 15:04:13,00:1D:A5:00:1B:86,[B@a45a2df,0.0,0.0,0.0,2.1091,0.0,22
4.5%,170.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,1.54mph,148.0rpm,14.6V,69.0kW,98.0kW,4.8A,395.1V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,100.0rpm,100.0rpm,0.0,394.0V,1000.0kOhm,4.1V,11.0,4.1V,1.0,0.0,4226.349722222222hours,0.0,95.0%,75.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,99.5%,100.0%,0.0minutes,19.0C,1.89648kW,22.0C,4.115625000000001V,2019-11-05 15:04:16,00:1D:A5:00:1B:86,[B@58593af,0.0,0.0,0.0,2.4794,0.0,23
7.0%,140.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,3.66mph,402.0rpm,14.6V,69.0kW,98.0kW,6.1A,395.0V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,400.0rpm,400.0rpm,0.0,394.0V,1000.0kOhm,4.1V,87.0,4.1V,1.0,0.0,4226.350277777778hours,0.0,95.0%,80.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,99.5%,100.0%,0.0minutes,19.0C,2.4095kW,22.0C,4.114583333333333V,2019-11-05 15:04:19,00:1D:A5:00:1B:86,[B@aee007f,0.0,0.0,0.0,5.892600000000001,0.0,24
0.0%,0.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,4.57mph,470.0rpm,14.6V,69.0kW,98.0kW,2.1A,395.2V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,400.0rpm,400.0rpm,0.0,394.0V,1000.0kOhm,4.12V,87.0,4.1V,1.0,0.0,4226.351111111111hours,0.0,95.0%,85.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,99.5%,100.0%,0.0minutes,19.0C,0.82992kW,22.0C,4.116666666666666V,2019-11-05 15:04:22,00:1D:A5:00:1B:86,[B@103e94f,0.0,0.0,0.0,7.357700000000001,0.0,25
8.5%,98.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,4.61mph,462.0rpm,14.6V,69.0kW,98.0kW,8.1A,394.9V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,400.0rpm,400.0rpm,0.0,393.0V,1000.0kOhm,4.1V,87.0,4.1V,1.0,0.0,4226.351944444445hours,0.0,95.0%,80.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,99.5%,100.0%,0.0minutes,19.0C,3.19869kW,22.0C,4.113541666666666V,2019-11-05 15:04:24,00:1D:A5:00:1B:86,[B@c4e1f,0.0,0.0,0.0,7.422100000000001,0.0,26
27.5%,194.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,3.45mph,351.0rpm,14.6V,69.0kW,98.0kW,16.1A,394.4V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,300.0rpm,300.0rpm,0.0,393.0V,1000.0kOhm,4.1V,31.0,4.1V,26.0,0.0,4226.352777777778hours,0.0,95.0%,80.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,99.5%,100.0%,0.0minutes,19.0C,6.34984kW,22.0C,4.108333333333333V,2019-11-05 15:04:27,00:1D:A5:00:1B:86,[B@20c2eef,0.0,0.0,0.0,5.554500000000001,0.0,27
27.5%,170.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,3.62mph,368.0rpm,14.6V,69.0kW,98.0kW,13.9A,394.4V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,300.0rpm,300.0rpm,0.0,393.0V,1000.0kOhm,4.1V,87.0,4.1V,82.0,0.0,4226.353611111111hours,0.0,95.0%,80.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,99.5%,100.0%,0.0minutes,19.0C,5.48216kW,22.0C,4.108333333333333V,2019-11-05 15:04:30,00:1D:A5:00:1B:86,[B@2c88bbf,0.0,0.0,0.0,5.828200000000001,0.0,28
12.0%,56.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,3.66mph,403.0rpm,14.5V,69.0kW,98.0kW,9.4A,394.7V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,400.0rpm,400.0rpm,0.0,393.0V,1000.0kOhm,4.1V,11.0,4.1V,1.0,0.0,4226.354166666667hours,0.0,95.0%,75.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,99.5%,100.0%,0.0minutes,19.0C,3.71018kW,22.0C,4.111458333333333V,2019-11-05 15:04:33,00:1D:A5:00:1B:86,[B@fc6648f,0.0,0.0,0.0,5.892600000000001,0.0,29
0.0%,0.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,5.22mph,531.0rpm,14.6V,69.0kW,98.0kW,1.7A,395.1V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.4Ah,16376.1kWh,15893.1kWh,500.0rpm,500.0rpm,0.0,394.0V,1000.0kOhm,4.1V,43.0,4.1V,83.0,0.0,4226.355hours,0.0,95.0%,80.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,99.5%,100.0%,0.0minutes,19.0C,0.67167kW,22.0C,4.115625000000001V,2019-11-05 15:04:36,00:1D:A5:00:1B:86,[B@84ab95f,0.0,0.0,0.0,8.4042,0.0,30
